id;name;rating;bedroom;bed;bath;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
881208;Rental unit in Bangkok ;0;1;1;1;4549405;Carlos;;Bang Rak;13.72386;100.52563;Private room;800;180;0;;;2;365;0;
296960;Rental unit in Bangkok ;4.90 ;1;1;1;175729;Mitch & Mam;;Chatu Chak;13.80926;100.56892;Entire home/apt;901;358;56;04-08-2019;0.39;1;0;0;
888304;Condo in Bangkok ;4.89 ;1;1;1;2592798;Nokina;;Chatu Chak;13.83028;100.57065;Entire home/apt;;4;9;14-12-2021;0.07;2;0;0;
1419797;Rental unit in Bangkok ;4.93 ;2;2;2;7644106;Jirapha;;Parthum Wan;13.74381;100.54792;Entire home/apt;2250;7;109;17-12-2023;0.86;1;151;18;
1420577;Condo in Bangkok ;0;1;1;1;7647775;Hataipat;;Khlong San;13.71847;100.50914;Entire home/apt;3068;45;1;25-08-2013;0.01;5;238;0;
1421233;Rental unit in Bangkok ;4.56 ;1;2;1;7647775;Hataipat;;Khlong San;13.71672;100.5092;Entire home/apt;1286;5;72;27-02-2020;0.60;5;238;0;
313459;Home in Bangkok ;0;1;1;1;1611711;Nichapat;;Khlong Toei;13.71513;100.5683;Private room;2227;1;0;;;1;0;0;
1440474;Rental unit in Bangkok ;5.0 ;1;1;1;7736004;Prim;;Khlong Toei;13.72670937;100.5635605;Entire home/apt;1900;1;6;20-11-2023;0.06;3;155;4;
320014;Rental unit in Bangkok ;4.61 ;2;2;2;843854;Anshera;;Khlong Toei;13.7281;100.57318;Entire home/apt;1730;30;70;27-05-2023;0.48;1;144;4;
1444053;Condo in Khet Chatuchak ;0;1;1;1;7753623;Kia;;Chatu Chak;13.79616;100.56478;Private room;1636;2;0;;;1;180;0;
1452584;Rental unit in Bangkok ;0;1;1;2;578672;Warin;;Vadhana;13.73862;100.585;Private room;1049;3;1;01-01-2014;0.01;1;365;0;
889909;Home in Bangkok ;5.0 ;1;1;1;4721867;Annie;;Bang Na;13.65979;100.60643;Private room;700;1;4;06-09-2016;0.03;1;0;0;
385130;Rental unit in Bangkok ;4.61 ;1;1;1;1927968;Evan;;Sathon;13.720548;100.54697;Entire home/apt;700;1;417;10-12-2023;2.91;49;352;22;
385278;Rental unit in Bangkok ;0;1;1;0;1928343;Chanvit;;Rat Burana;13.68426;100.49841;Private room;1559;1;0;;;1;0;0;
